24189,24161,24132
23903,23939,23864
24244,24269,24217
24185,24161,24217
24488,24503,24518
24503,24492,24518
24593,24584,24594
24593,24582,24584
24582,24593,24591
24576,24582,24591
24506,24493,24519
23482,23528,23437
24342,24366,24319
24432,24395,24414
24395,24432,24416
23970,24004,23937
122,90,75
65,107,75
107,122,75
72,39,67
39,72,44
72,82,44
10,31,12
31,37,12
404,438,365
477,438,520
1727,1785,1667
1609,1727,1667
1669,1727,1609
156,139,105
61,70,105
123,124,83
554,611,528
657,611,700
328,404,365
328,366,404
293,254,332
293,328,256
366,293,332
328,293,366
7944,8032,7859
7770,7944,7859
656,614,703
703,658,747
614,658,703
10837,10660,10747
9600,9686,9510
10044,10130,9952
805,759,851
711,759,692
948,850,898
850,803,756
803,711,756
759,803,851
803,759,711
662,573,615
615,655,701
573,655,615
692,655,533
655,573,533
533,579,495
579,554,495
3342,3410,3270
1044,1094,1146
1097,1149,1045
1420,1366,1477
1312,1366,1257
1477,1590,1532
1534,1590,1477
1422,1312,1257
2855,2922,2788
1079,1032,981
1240,1186,1137
937,1036,988
1189,1240,1137
3109,3039,2971
2074,2155,2211
2155,2074,2012
1886,1823,2012
2070,1948,2075
1948,2070,1952
1948,1823,1886
2136,2074,2211
2136,2225,2075
2296,2136,2211
2225,2136,2296
1950,1886,2012
2074,1950,2012
3199,3130,3270
3130,3199,3060
2991,3130,3060
2922,2991,3060
2991,2922,2855
2991,2855,2924
5480,5560,5398
5560,5480,5640
5003,5160,5080
5082,5241,5160
5003,5082,5160
5082,5003,4924
5721,5560,5640
3322,3392,3465
3471,3332,3400
3332,3471,3399
2845,2779,2709
2722,2650,2589
2650,2722,2781
2041,2137,2063
2513,2653,2589
2779,2653,2709
2653,2722,2589
2722,2653,2779
1682,1769,1736
1769,1682,1738
1769,1843,1736
1941,1843,2001
2373,2314,2241
2304,2373,2241
1515,1536,1457
5840,5919,5996
13434,13254,13345
12692,12605,12514
13943,13767,13768
17142,17230,17063
17230,17142,17320
17063,17230,17151
18240,18322,18404
18567,18648,18730
15397,15571,15481
19932,20010,19853
21619,21686,21552
21966,22050,22204
16262,16374,16449
16616,16716,16715
16716,16616,16544
15604,15520,15687
14847,14760,14931
14760,14847,14692
15016,15102,15190
15102,15277,15190
14679,14591,14758
14591,14679,14508
14760,14846,14931
14679,14846,14760
14846,14679,14758
14846,15016,14931
14549,14600,14692
14165,14076,14256
14353,14165,14256
23611,23551,23642
23678,23611,23642
23571,23611,23678
20840,20768,20915
19450,19609,19530
22608,22659,22554
22659,22605,22554
23370,23315,23410
23370,23274,23315
23463,23370,23410
23370,23333,23274
23479,23521,23571
23551,23521,23463
23521,23611,23571
23611,23521,23551
23530,23479,23571
23300,23255,23347
23255,23300,23203
22402,22457,22511
21617,21681,21548
21681,21617,21749
21613,21544,21475
21680,21544,21613
21544,21680,21615
23444,23397,23489
19482,19401,19562
19645,19482,19562
19482,19568,19407
19482,19645,19568
22873,22820,22929
22979,22873,22929
23034,22979,22929
22979,23034,23085
18201,18117,18032
